Date,Diesel
2010-01-14,87.45
2011-01-14,88.71
2011-02-14,91.72
2011-03-14,94.53
2011-04-14,107.52
2011-05-14,108.02
2011-06-14,106.30
2011-07-14,106.12
2011-08-14,108.97
2011-09-14,108.77
2011-10-14,110.94
2011-11-14,114.30
2011-12-14,110.98
2012-01-14,107.90
2012-02-14,105.29
2012-03-14,105.12
2012-04-14,108.80
2012-05-14,108.44
2012-06-14,105.51
2012-07-14,97.51
2012-08-14,97.08
2012-09-14,101.07
2012-10-14,106.11
2012-11-14,105.85
2012-12-14,105.79
2013-01-14,103.99
2013-02-14,106.20
2013-03-14,107.37
2013-04-14,106.44
2013-05-14,101.06
2013-06-14,99.16
2013-07-14,102.86
2013-08-14,104.44
2013-09-14,105.55
2013-10-14,104.47
2013-11-14,103.25
2013-12-14,104.52
2014-01-14,104.73
2014-02-14,105.80
2014-03-14,104.87
2014-04-14,103.82
2014-05-14,104.71
2014-06-14,104.81
2014-07-14,104.67
2014-08-14,102.98
2014-09-14,102.36
2014-10-14,100.67
2014-11-14,94.52
2014-12-14,90.85
2015-01-14,83.35
2015-02-14,75.52
2015-03-14,76.20
2015-04-14,77.48
2015-05-14,79.34
2015-06-14,83.31
2015-07-14,84.56
2015-08-14,83.35
2015-09-14,79.99
2015-10-14,83.43
2015-11-14,79.66
2015-12-14,78.51
2016-01-14,76.70
2016-02-14,67.88
2016-03-14,65.70
2016-04-14,66.23
2016-05-14,70.37
2016-06-14,73.71
2016-07-14,83.24
2016-08-14,84.51
2016-09-14,82.46
2016-10-14,82.12
2016-11-14,82.17
2016-12-14,87.22
2017-01-14,84.23
2017-02-14,89.26
2017-03-14,90.44
2017-04-14,88.62
2017-05-14,88.05
2017-06-14,86.89
2017-07-14,84.46
2017-08-14,85.86
2017-09-14,85.86
2017-10-14,88.71
2017-11-14,92.41
2017-12-14,92.44
2018-01-14,94.82
2018-02-14,96.96
2018-03-14,97.86
2018-04-14,97.86
2018-05-14,96.64
2018-06-14,103.60
2018-07-14,103.60
2018-08-14,102.74
2018-09-14,115.47
2018-10-14,109.72
2018-11-14,112.83
2018-12-14,112.28
2019-01-14,102.24
2019-02-14,95.96
2019-03-14,96.61
2019-04-14,102.13
2019-05-14,104.37
2019-06-14,104.76
2019-07-14,103.88
2019-08-14,100.60
2019-09-14,103.04
2019-10-14,101.96
2019-11-14,104.61
2019-12-14,101.78
2020-01-14,102.32
2020-02-14,104.45
2020-03-14,101.65
2020-04-14,97.56
2020-05-14,78.37
2020-06-14,74.57
2020-07-14,91.87
2020-08-14,94.63
2020-09-14,94.51
2020-10-14,92.91
2020-11-14,90.70
2020-12-14,91.82
2021-01-14,96.40
2021-02-14,101.91
2021-03-14,107.66
2021-04-14,107.66
2021-05-14,107.66
2021-06-14,107.66
2021-07-14,107.66
2021-08-14,107.66
2021-09-14,114.60
2021-10-14,110.60
2021-11-14,110.60
2021-12-14,110.60
2022-01-14,110.60
2022-02-14,110.60
2022-03-14,115.60
2022-04-14,125.50
2022-05-14,131.00